gene_name	source
IKZF3	"CHORD paper, CGI"
IL6ST	"CHORD paper, CGI"
IL7R	"CHORD paper, CGI"
ING1	"CHORD paper, CGI"
ING2	"CHORD paper, CGI"
INHBA	"CHORD paper, CGI"
INPP4A	"CHORD paper, CGI"
INPP4B	"CHORD paper, CGI"
INPPL1	"CHORD paper, CGI"
IREB2	"CHORD paper, CGI"
IRF1	"CHORD paper, CGI"
IRF2	"CHORD paper, CGI"
IRF4	"CHORD paper, CGI"
IRF6	"CHORD paper, CGI"
IRF7	"CHORD paper, CGI"
IRF8	"CHORD paper, CGI"
IRS2	"CHORD paper, CGI"
ITGA9	"CHORD paper, CGI"
ITSN1	"CHORD paper, CGI"
JAGN1	"CHORD paper, CGI"
JAK1	"CHORD paper, CGI"
JAK2	"CHORD paper, CGI"
JAK3	"CHORD paper, CGI"
JMY	"CHORD paper, CGI"
JUN	"CHORD paper, CGI"
KANSL1	"CHORD paper, CGI"
KAT6B	"CHORD paper, CGI"
KAT8	"CHORD paper, CGI"
KCNJ5	"CHORD paper, CGI"
KDM1A	"CHORD paper, CGI"
KDM5A	"CHORD paper, CGI"
KDM5C	"CHORD paper, CGI"
KDM6A	"CHORD paper, CGI"
KDR	"CHORD paper, CGI"
KEAP1	"CHORD paper, CGI"
KIAA1549	"CHORD paper, CGI"
KIF5B	"CHORD paper, CGI"
KIT	"CHORD paper, CGI"
KLF4	"CHORD paper, CGI"
KLF6	"CHORD paper, CGI"
KMT2A	"CHORD paper, CGI"
KMT2C	"CHORD paper, CGI"
KRAS	"CHORD paper, CGI"
LCP1	"CHORD paper, CGI"
LDHA	"CHORD paper, CGI"
LEP	"CHORD paper, CGI"
LIFR	"CHORD paper, CGI"
LIMA1	"CHORD paper, CGI"
LMO1	"CHORD paper, CGI"
LMO2	"CHORD paper, CGI"
LNPEP	"CHORD paper, CGI"
LPP	"CHORD paper, CGI"
LRP1B	"CHORD paper, CGI"
LRP6	"CHORD paper, CGI"
LRPPRC	"CHORD paper, CGI"
LZTS1	"CHORD paper, CGI"
MACF1	"CHORD paper, CGI"
MAD1L1	"CHORD paper, CGI"
MAGI2	"CHORD paper, CGI"
MAP2K1	"CHORD paper, CGI"
MAP2K2	"CHORD paper, CGI"
MAP2K4	"CHORD paper, CGI"
MAP3K1	"CHORD paper, CGI"
MAP3K11	"CHORD paper, CGI"
MAP3K13	"CHORD paper, CGI"
MAP3K4	"CHORD paper, CGI"
MAP4K1	"CHORD paper, CGI"
MAP4K3	"CHORD paper, CGI"
MARK2	"CHORD paper, CGI"
MAT2A	"CHORD paper, CGI"
MAX	"CHORD paper, CGI"
MCC	"CHORD paper, CGI"
MCM3	"CHORD paper, CGI"
MCM8	"CHORD paper, CGI"
MDM2	"CHORD paper, CGI"
MDM4	"CHORD paper, CGI"
MECOM	"CHORD paper, CGI"
MED12	"CHORD paper, CGI"
MED17	"CHORD paper, CGI"
MED23	"CHORD paper, CGI"
MED24	"CHORD paper, CGI"
MEF2C	"CHORD paper, CGI"
MEN1	"CHORD paper, CGI"
MET	"CHORD paper, CGI"
MFNG	"CHORD paper, CGI"
MGA	"CHORD paper, CGI"
MGMT	"CHORD paper, CGI"
MITF	"CHORD paper, CGI"
MKL1	"CHORD paper, CGI"
MLH1	"CHORD paper, CGI"
MLH3	"CHORD paper, CGI"
MLLT11	"CHORD paper, CGI"
MLLT4	"CHORD paper, CGI"
MMP2	"CHORD paper, CGI"
MNDA	"CHORD paper, CGI"
MNX1	"CHORD paper, CGI"
MPL	"CHORD paper, CGI"
MRE11A	"CHORD paper, CGI"
MSH2	"CHORD paper, CGI"
MSH3	"CHORD paper, CGI"
MSH6	"CHORD paper, CGI"
MSR1	"CHORD paper, CGI"
MTCP1	"CHORD paper, CGI"
MTOR	"CHORD paper, CGI"
MUC1	"CHORD paper, CGI"
MUC20	"CHORD paper, CGI"
MUC4	"CHORD paper, CGI"
MUS81	"CHORD paper, CGI"
MUTYH	"CHORD paper, CGI"
MYB	"CHORD paper, CGI"
MYC	"CHORD paper, CGI"
MYCL	"CHORD paper, CGI"
MYCN	"CHORD paper, CGI"
MYD88	"CHORD paper, CGI"
MYH10	"CHORD paper, CGI"
MYH11	"CHORD paper, CGI"
MYH14	"CHORD paper, CGI"
MYH9	"CHORD paper, CGI"
MYOD1	"CHORD paper, CGI"
NAP1L1	"CHORD paper, CGI"
NBN	"CHORD paper, CGI"
NCF2	"CHORD paper, CGI"
NCK1	"CHORD paper, CGI"
NCKAP1	"CHORD paper, CGI"
NCOA2	"CHORD paper, CGI"
NCOR1	"CHORD paper, CGI"
NCOR2	"CHORD paper, CGI"
NDRG1	"CHORD paper, CGI"
NEDD4L	"CHORD paper, CGI"
NF1	"CHORD paper, CGI"
NF2	"CHORD paper, CGI"
NFATC4	"CHORD paper, CGI"
NFE2L2	"CHORD paper, CGI"
NFIB	"CHORD paper, CGI"
NFKBIE	"CHORD paper, CGI"
NKX2-1	"CHORD paper, CGI"
NKX3-1	"CHORD paper, CGI"
NOTCH1	"CHORD paper, CGI"
NOTCH2	"CHORD paper, CGI"
NPM1	"CHORD paper, CGI"
NR2F2	"CHORD paper, CGI"
NR4A2	"CHORD paper, CGI"
NRAS	"CHORD paper, CGI"
NSD1	"CHORD paper, CGI"
